seed,method,cv_mean,cv_std,error
42,none,0.8082373715328757,0.01308620808646977,
42,smote,0.8089300717547292,0.013247671853076215,
42,kmeans,0.8093103564976074,0.011647028615560412,
123,none,0.8073186249222916,0.012346592643373833,
123,smote,0.805962035225049,0.011032958692128518,
123,kmeans,0.8090868621233659,0.012690381153828666,
2023,none,0.8082340647857891,0.009862601907163093,
2023,smote,0.8066477495107632,0.007467480718738624,
2023,kmeans,0.8098852980532429,0.014620186150774782,
2140,none,0.8075498326785974,0.010130125759727422,
2140,smote,0.8084738421395956,0.011382048101217561,
2140,kmeans,0.8111393136627043,0.011651181564334962,
